O.S;Status;Cod Classe;Classe;Cod Motivo;Motivo;Cod Oficina;OF;Oficina;Equipamento;Frota;Modelo;Cod Modelo;Cod Categ;Categoria Operacional;Cod Prestador;Prestador;Entrada;Saída Prevista;Saída;H;Descrição da ordem;Unidade;CC;Descrição CC;Operação;Qtd Dias aberto;Status Frotas
151824448;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;96367;M.Benz Atego 1719;1034;1;Caminhão;0;0;16/01/2024;16/01/2024 07:30;0;0;"A_3,00_01 - Inspeção realizada sistema de suspensão. Trocar buchas dos molejos dianteiros e traseiros L/E,L/D e buchas da ponta do estabilizador traseiro, do estabilizador dianteiro , amortecedores dianteiros. 02_8139570,(P5) 02_8148469,04(P5 2 UNIDADES FATA 2)_8137449(P5), 02_8150757,02(P5)_8138926(P5)
";Barra;3220;OFICINA MECÂNICA MÁQ AGR;Oficinas;395;DISPONIVEL
151832771;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;71879;John Deere 6110J;951;3;Trator de Pneu;0;0;27/02/2024;27/02/2024 06:01;0;489,28;"A_VZ_S_2,00_1 - Inspeção realizada no sistema hidráulico, trocar reparo do cilindro do levante hidráulico, está com vazamento 8150792_2    NÃO POSSUI CILINDRO REMAN, NECESSARIO REMOVER O CILINDRO E ENCAMINHAR PARA RECUPERAR JUNTO AO REPARO
";Diamante;3325;MAQUINAS TRATOS CULTURAIS;Produção;353;DISPONIVEL
151837586;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;106657;Valtra BH 210I 4x4;1105;3;Trator de Pneu;0;0;18/03/2024;18/03/2024 15:44;0;0;"M_SG_P_0,15_1 - Inspeção realizada no sistema eletrico, colocar a tampa da bateria, está sem 8121534_1.
";Diamante;3327;MÁQUINAS APOIO CCT;Apoio;332;DISPONIVEL
151837758;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;71879;John Deere 6110J;951;3;Trator de Pneu;0;0;20/03/2024;20/03/2024 07:00;0;0;"A_MT_P_0,10_1,00- Inspeção realizada no sistema de motor. Trocar vareta do nivel de oleo. Esta sem vedação e vazando.      8117353_1   Material disponível na sala de Aprovisionamento!
";Diamante;3325;MAQUINAS TRATOS CULTURAIS;Produção;331;DISPONIVEL
151841657;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;103076;Grade Intermed. Baldan;895;28;Implemento Agricola;0;0;03/04/2024;03/04/2024 17:00;0;0;"A_SG_P_1,00_1 - Inspeção realizada na estrutura - trocar cubo do eixo de articulação, esta rustido e com folga 8176439_01
";Barra;3328;IMPLEMENTOS PREPARO SOLO;Produção;317;DISPONIVEL
151841669;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;42453;Implemento Munck;113;28;Implemento Agricola;0;0;03/04/2024;03/04/2024 06:01;0;0;"A_SS_S_16,00_2 - Inspeção realizada na estrutura do implemento, reparar trincas na mesa do implemento, está com trincas iniciais podendo evoluir e oferecer riscos a estabilidade do implemento IMPLEMENTO ESTÁ EQUIPADO NA FROTA MB ATEGO 45223 UNIDADE DIAMANTE
";Diamante;3322;TRANSP AGRIC MUNCK;Apoio;317;DISPONIVEL
151851314;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;100762;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;24/04/2024;24/04/2024 06:01;0;0;"A_OT_I_2,00_2,00 - Inspeção realizada no sistema da cabine. Trocar os amortecedores da cabine L/E e L/D. estão ruins. 8177419_2. 
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;296;DISPONIVEL
151851665;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;97734;M.Benz Atego 1719;1034;1;Caminhão;0;0;24/04/2024;24/04/2024 14:30;0;0;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedor traseiro L/D. (estourado) 01_8144313MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO
";Barra;3220;OFICINA MECÂNICA MÁQ AGR;Oficinas;295;DISPONIVEL
151852729;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102787;John Deere 8260R 4X4;940;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 06:01;0;0;"M_VZ_P_2,00_2 - Inspeção realizada na tomada de força, trocar retentor do eixo da tomada de força. 8120853_1 (ND); 8120857_1 (ND); 6031339_1 (VB)
";Diamante;3316;MAQUINAS PREPARO DE SOLO;Produção;294;DISPONIVEL
151852731;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102787;John Deere 8260R 4X4;940;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 06:01;0;0;"M_OT_P_1,00_1,00 - Inspeção realizada no sistema estrutural. Instralação da chapa de desgaste da barra de tração. Frente de preparo. 8152963_1 (ND); 8158949_1 (ND); 8155310_2 (ND); 8144592_2 (ND); 8144602_2 (ND

";Diamante;3316;MAQUINAS PREPARO DE SOLO;Produção;294;DISPONIVEL
151852784;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102787;John Deere 8260R 4X4;940;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 06:01;0;0;"A_OT_P_1,00_1 - Inspeção realizada no sistema de barra estabilizadora, trocar placas de desgaste para proteção da carcaça, esta sem proteção.8139653_2 ; 8139629_2 ; 8066639_2 VB ; 8149806_2
""`
";Diamante;3316;MAQUINAS PREPARO DE SOLO;Produção;294;DISPONIVEL
151852896;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;50956;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 17:00;0;0;"B_OT_P_2,00_2 - Inspeção realizada no sistema de direção., trocar pino e rotulas dos cilindros de direção L/D e L/E, esta com folga . 8131458_2  8019770_2 8141370_2  6010584_4 8032784_2  8005198_4   8044744_2  8109733_4
";Barra;3340;APLICAÇÃO VINHAÇA ADUTORA;Produção;294;DISPONIVEL
151852947;Liberado para Programação;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;50923;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 06:01;0;0;"A_OT_P_1,00_1,00 - Inspeção realizada no sistema do reservatório do diesel. Colocar o respiro do reservatório do diesel.8141532_1.Frente 201. Material disponível na sala de Aprovisionamento
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;294;DISPONIVEL
151852966;Liberado para Programação;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;50923;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;26/04/2024;26/04/2024 06:01;0;0;"A_TR_P_1,00_1,00 - Inspeção realizada no sistema da transmissão. Colocar o respiro da transmissão. está sem.8129979_1. frente 201.  Material disponível na sala de Aprovisionamento
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;294;DISPONIVEL
151852720;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;96954;Volvo FMX 540 6X4 CAV;1435;1;Caminhão;0;0;26/04/2024;26/04/2024 06:32;0;0;"A_OT_P_1,50_01 - Inspeção realizada sistema de chassi. Trocar 5º roda (foi para oficina regular não dá mais regulagem), e está com desgaste na base . 01_8177115

";Barra;3323;TRANSP AGRIC PRANCHA;Apoio;294;DISPONIVEL
151857286;Liberado para Programação;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;189327;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;03/05/2024;03/05/2024 06:01;0;0;"A_SS_P_1,00_1,00 - Inspeção realizada no sistema do kit spuma. Colocar o bico do registro. Está sem 8190649_1. Frente 203. MATERIlAL DISPONIVEL SALA DE APROVISIONAMENTO 
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;287;DISPONIVEL
151859555;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;100454;John Deere 6110J;951;3;Trator de Pneu;0;0;06/05/2024;06/05/2024 06:01;0;0;"A_OT_P_3,00_2 - INspeção realizada no eixo dianteiro, trocar bucha do mancal do eixo dianteiro, está com folga NECESSARIO RECOLHER O EQUIPAMENTO E REMOVER O EIXO DIANTEIRO 8009443_2
";Diamante;3340;APLICAÇÃO VINHAÇA ADUTORA;Produção;284;DISPONIVEL
151860826;Liberado para Programação;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;100762;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;08/05/2024;08/05/2024 06:01;0;0;"A_MT_P_1,00_1,00 - Inspeção realizada no sistema do motor, Trocar a carcaça do fltro do ar do motor.Está trincada. 8150436_1. frente 204. Material disponível na sala de Aprovisionamento
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;282;DISPONIVEL
151860749;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;98412;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;08/05/2024;08/05/2024 07:00;0;0;"A_MT_P_1,00_1,00 - Inspeção realizada no sistema de motor. Trocar carcaça do filtro de ar completa, A tampa esta colada, com risco de entrar terra no motor.             8188461_1

";Barra;3460;REB TRANSB PRÓPRIO;Ccta;282;DISPONIVEL
151860753;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;98406;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;08/05/2024;08/05/2024 07:00;0;0;"A_SS_P_1,00_1,00 - Inspeção realizada no sistema de cabine. tirantes do retrovisor L/D e L/E quebrados. Trocar tirantes L/D e L/E.            8158854_2
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;282;DISPONIVEL
151860827;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;74916;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;08/05/2024;08/05/2024 07:00;0;0;"A_OT_P_1,00_1,00 - Inspeção realizada no sistema de cabine. tirantes do retrovisor L/D e L/E quebrados. Trocar tirantes L/D e L/E.            8158854_2

";Barra;3460;REB TRANSB PRÓPRIO;Ccta;282;DISPONIVEL
151862846;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;106661;Valtra BH 210I 4x4;1105;3;Trator de Pneu;0;0;11/05/2024;11/05/2024 06:01;0;0;"A_MT_P_1,00_2 - Inspeção realizada no motor, colocar mangueira do respiro do motor diesel, está faltando 8129785_1
";Diamante;3344;VINHAÇA LOCALIZADA;Produção;279;DISPONIVEL
151862734;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;98297;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;11/05/2024;11/05/2024 07:00;0;0;"A_SS_P_1,00_1,00 - Inspeção realizada no sistema de cabine. tirantes do retrovisor L/D e L/E quebrados. Trocar tirantes L/D e L/E.            8158854_2

";Barra;3460;REB TRANSB PRÓPRIO;Ccta;279;DISPONIVEL
151864170;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11001;OFICINA FIXA;Interna;Equipamento;98370;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;13/05/2024;13/05/2024 06:01;0;0;"E_SAFRA_24/25_MEC_2,00_2,00 - Inspeção realizada no sistema da cabine. Trocar o cilndro de vasculamento da cabine. Está 8184010_1. Frente 205. Origem da O.S alterada de [ C] para [ I].
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;277;DISPONIVEL
151864190;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102784;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;13/05/2024;13/05/2024 17:00;0;0;"A_OT_P_MEC_2,00_1 - Inspeção realizada no sistema direção - Trocar terminal da barra de direção L/D e L/E, esta com folga 8150480_02 8150490_04 8177726_02
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;277;DISPONIVEL
151864196;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102781;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;13/05/2024;13/05/2024 17:00;0;0;"B_OT_P_MEC_1,00_1 - Inspeção realizada no sistema hidraulico - trocar capa das VCR traseira, pois não esta vedando corretamente e acumulando terra 8174993_01 8138683_01 8174979_01 8174994_01
";Barra;3319;MEC MAQ PLANTIO MECANIZAD;Produção;277;DISPONIVEL
151864199;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102777;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;13/05/2024;13/05/2024 17:00;0;0;"M_OT_P_MEC_2,00_1 - Inspeção realizada no sistema direção - Trocar terminal da barra de direção L/D e L/E, esta com folga 8150480_02 8150490_04 8177726_02
";Barra;3319;MEC MAQ PLANTIO MECANIZAD;Produção;277;DISPONIVEL
151864165;Andamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;100798;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;13/05/2024;13/05/2024 07:00;0;0;"A_OT_P_1,00_1,00 - Inspeção realizada no sistema comando. Trocar reparo do comando, esta vazando.      8130009_3  MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO   RETIRADO JEAN 
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;277;DISPONIVEL
151864693;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;8802152;Case Puma 200 4x4;1679;3;Trator de Pneu;0;0;14/05/2024;14/05/2024 17:00;0;3055,78;"A_OT_P_1,00_2 - Inspeção realizada na estrutura - trocar cilindro a gas do capo da grade dianteira, esta sem ação e a grade não para aberta 8130041_02
";Barra;3318;TRATOR REBOQUE MUDA PICAD;Produção;276;DISPONIVEL
151866062;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;61038;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;16/05/2024;16/05/2024 17:00;0;0;"B_OT_P_2,00_1 - Inspeção realizado no sistema elétrico. Trocar farol dianteiro L/D  e L/E,  está trincado a lente e baixa luminosidade.   8136258_1. 8139232_1. 
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;274;DISPONIVEL
151868468;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;93187;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;20/05/2024;20/05/2024 17:00;0;0;"M_OT_P_MEC_0,10_1 - Inspeção realizada no sistema hidraulico - trocar tampa do bocal de abastecimento de oleo da transmissao AL165074 8106871_01
";Barra;3312;MÁQUINAS CULTIVO;Produção;270;DISPONIVEL
151868470;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;93187;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;20/05/2024;20/05/2024 17:00;0;0;"M_OT_P_MEC_2,00_2 - Inspeção realizada na estrutura - trocar coxim traseiro da cabine, esta estourado NECESSARIO RECOLHER O TRATOR RE62910 8128352_02 
";Barra;3312;MÁQUINAS CULTIVO;Produção;270;DISPONIVEL
151869190;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;102780;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;21/05/2024;21/05/2024 17:00;0;0;"B_OT_P_MEC_8,00_2 - Inspeção realizada na estrutura - trocar coxim traseiro e dianteiro da cabine, esta com fadiga 8136546_04  8186583_04  NECESSARIO RECOLHER O TRATOR PARA ANALISAR OS PONTOS DA TAREFA COM SEGURANCA 
";Barra;3344;VINHAÇA LOCALIZADA;Produção;269;DISPONIVEL
151869600;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;7011578;John Deere 7225 J 4x4;949;3;Trator de Pneu;0;0;22/05/2024;22/05/2024 17:00;0;0;"A_MT_P_MEC_2,00_1 - Inspeção realizada no motor - trocar cano curva de escapamento flexivel, cano de escape esta vazando gases RE206289 8099176_01 8099177_01 8177781_01
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;268;DISPONIVEL
151869602;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;7011578;John Deere 7225 J 4x4;949;3;Trator de Pneu;0;0;22/05/2024;22/05/2024 17:00;0;0;"M_OT_P_MEC_1,00_1 - Inspeção realizada na cabine - trocar apoia braço do assento do operador L/E, esta danificada 8116105_01 8166781_01 
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;268;DISPONIVEL
151869809;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;100811;Case Puma 230 4x4;1232;3;Trator de Pneu;0;0;23/05/2024;23/05/2024 06:01;0;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema elétrico. Trocar os faróis dianteiros L/E e L/D estão ruins  e ofuscados. 8139232_1, 8136229_1.Frente 209.
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;267;DISPONIVEL
151869917;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98292;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;23/05/2024;23/05/2024 06:01;0;0;"A_SS_P_2,00_1,00 - Inspeção realizada no sistema de cabine. Trocar chave comutadora da partida,esta com uma paliativa.                                (Partida direta no botão.)    frente 209         8142336_1         ENTREGAR PARA RAFAEL ELETRECISTA. CCT
";Barra;3318;TRATOR REBOQUE MUDA PICAD;Produção;267;DISPONIVEL
151870504;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;7011584;John Deere 7225 J 4x4;949;3;Trator de Pneu;0;0;23/05/2024;23/05/2024 17:00;0;0;"A_MT_P_MEC_1,00_1 - Inspeção realizada no escapamento - trocar abraçadeira e sanfonado do escapamento, esta trincado  RE53282  8177521_02 8177781_01  8099176_01
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;267;DISPONIVEL
151870903;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;98293;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;24/05/2024;24/05/2024 06:01;0;0;"A_SS_P_1,00_1,00 - Inspeção realizada no sistema da cabine. Trocar os tirantes do retrovisor L/E e L/D. Está quebrado 8158854_2. Frente 209.
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;266;DISPONIVEL
151870904;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100739;Valtra BT 210 4X4;845;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"M_OT_P_ELE_1,00_1 - Inspeção realizada no sistema eletrico - trocar Sensor de pressão da transmissão 
Numero: 3795283M1  8133944_01 
";Barra;3327;MÁQUINAS APOIO CCT;Apoio;266;DISPONIVEL
151870905;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100739;Valtra BT 210 4X4;845;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"M_OT_P_ELE_1,00_1 - Inspeção realizada no sistema eletrico - trocar Sensor de restrição do filtro da transmissão 
Numero: 3798634M3  8125115_01
";Barra;3327;MÁQUINAS APOIO CCT;Apoio;266;DISPONIVEL
151870907;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100739;Valtra BT 210 4X4;845;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"A_OT_P_ELE_1,00_1 - Inspeção realizada no sistema eletrico - trocar Chave de Seta e Farol 
Número: 3789725M92 8164999_01   Material disponível na sala de Aprovisionamento - material retirado por jonne
";Barra;3327;MÁQUINAS APOIO CCT;Apoio;266;DISPONIVEL
151871106;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102783;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"A_OT_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminal da barra de direção L/E , está com folga 8175002_1; 8150490_2; 8177726_1
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;266;DISPONIVEL
151871108;Liberado para Programação;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;98293;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;0;0;24/05/2024;24/05/2024 06:01;0;0;"A_SS_P_1,00_1,00 - Inspeção realizada no sistema do kit incêndio. Trocar o manômetro do kit spuma.Está quebrado.6060801_1. 6012077_10               NECESSARIO LEVAR REBITADEIRA Frente 209. MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO 
";Barra;3460;REB TRANSB PRÓPRIO;Ccta;266;DISPONIVEL
151871144;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102770;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"B_OT_P_MEC_2,00_1 - Inspeção realizada na estrutura - trocar grade do capô, esta danificada 8139223_01 8131734_01 8145011_01 8145001_01 
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;266;DISPONIVEL
151871167;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;102770;John Deere 8270R 4X4;784;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"M_OT_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico - trocar tampa da VCR número III e  IV, esta quebrada e não vedando o local do engate 8174994_01 8174979_01
";Barra;3316;MAQUINAS PREPARO DE SOLO;Produção;266;DISPONIVEL
151871342;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;71879;John Deere 6110J;951;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 06:01;0;0;"A_MT_P_2,00_2 - Inspeção realizada no sistema de arrefecimento, trocar reservátorio de fluído de arrefecimento, está corroido LE e está vazando.8133704_1; 8184307_1; 8139096_1; 8000298_2 REPOR FLUIDO DE ARREFECIMENTO 
 
";Diamante;3325;MAQUINAS TRATOS CULTURAIS;Produção;266;DISPONIVEL
151871365;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;11701;M.B Axor 3131 8x4 Vinhaça;1434;1;Caminhão;0;0;24/05/2024;24/05/2024 06:01;0;0;"A_OT_P_2,00_2 - Inspeção realizada no implemento, trocar mangueiras do implemento acima do tanque hidráulico, estão com atrito ao tanque 8143440_15 LEVAR ESMIRILHADEIRA PARA CORTAR A MANGUEIRA NA MEDIDA NECESSARIA
";Diamante;3344;VINHAÇA LOCALIZADA;Produção;266;DISPONIVEL
151871383;Aprovisionamento;5;Preventiva Condicional;24;ENTRESSAFRA CCT;11002;OFICINA CAMPO;Campo;Equipamento;50967;Case MX 260 Magnum 4x4;1051;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"M_MT_P_MEC_0,30_1 - Inspeção realizada no motor diesel - trocar caneca do filtro de oleo de motor. esta quebrado aonde fixa a chave para retirar 8138834_1
";Barra;3344;VINHAÇA LOCALIZADA;Produção;266;DISPONIVEL
151871384;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;93181;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 06:01;0;0;"A_OT_P_2,00_1 - Inspeção realizada no hidraulico, trocar bucha do eixo oscilante superior do braço elevador da barra hidraulica  8128780_2; 8073788_2
";Diamante;3312;MÁQUINAS CULTIVO;Produção;266;DISPONIVEL
151871387;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;93181;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 06:01;0;1591,78;"A_OT_P_1,00_1 - Inspeção realizada na cabine - trocar borracha de vedação da porta L/E, não esta vedando direito 8140498_01

MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO  RETIRADO LUCAS TORRES
";Diamante;3312;MÁQUINAS CULTIVO;Produção;266;DISPONIVEL
151871390;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;100829;Case Puma 140 4x4;1409;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"M_OT_P_MEC_2,00_2 - Inspeção realizada no sistema da cabine. Trocar os amortecedores traseiro da cabine L/E e L/D. estão ruins. 8138302_2
";Barra;3325;MAQUINAS TRATOS CULTURAIS;Produção;266;DISPONIVEL
151871391;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;93181;John Deere 7230 J 4x4;1298;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 06:01;0;0;"A_TR_P_1,00_1 - Inspeção realizada na transmissão, trocar visor de nivel, está ofuscado, ruim de ver o nivel 8101078_1
";Diamante;3312;MÁQUINAS CULTIVO;Produção;266;DISPONIVEL
151871392;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11001;OFICINA FIXA;Interna;Equipamento;100829;Case Puma 140 4x4;1409;3;Trator de Pneu;0;0;24/05/2024;24/05/2024 17:00;0;0;"B_OT_P_MEC_2,00_2 - Inspeção realizada no sistema de cabine, trocar kit coxin dianteiro da cabine, estão rachados. RECOLHER O EQUIPAMENTO OU LEVAR O SUPORTE COM COXIM PRENSADO 8134754_2 
";Barra;3325;MAQUINAS TRATOS CULTURAIS;Produção;266;DISPONIVEL
