O.S;Descricao Da Ordem;Codigo Produto;Quantidade de Produto
151875019;"B_VZ_P_MEC_8,00_2 - Inspeção realizada no eixo traseiro - trocar bucha,retentor e rolamento da corneta do eixo traseiro  L/D, esta com principio de vazamento 8156266_01 8114057_01 8109242_01 NECESSARIO RECOLHER O FROTA E FERRAMENTA PARA PRENSAR 
";8156266;01
151875019;"B_VZ_P_MEC_8,00_2 - Inspeção realizada no eixo traseiro - trocar bucha,retentor e rolamento da corneta do eixo traseiro  L/D, esta com principio de vazamento 8156266_01 8114057_01 8109242_01 NECESSARIO RECOLHER O FROTA E FERRAMENTA PARA PRENSAR 
";8114057;01
151875019;"B_VZ_P_MEC_8,00_2 - Inspeção realizada no eixo traseiro - trocar bucha,retentor e rolamento da corneta do eixo traseiro  L/D, esta com principio de vazamento 8156266_01 8114057_01 8109242_01 NECESSARIO RECOLHER O FROTA E FERRAMENTA PARA PRENSAR 
";8109242;01
151879860;"B_OT_P_0,30_1 - Inspeção realizada na estrutura - Instalar proteção infeiror do suporte dianteiro, esta sem a proteção é localizada na frente do diferencial dianteiro aonde sai o respiro do motor 8149625_01 8149612_04
";8149625;01
151879860;"B_OT_P_0,30_1 - Inspeção realizada na estrutura - Instalar proteção infeiror do suporte dianteiro, esta sem a proteção é localizada na frente do diferencial dianteiro aonde sai o respiro do motor 8149625_01 8149612_04
";8149612;04
151888264;"B_OT_P_MEC_2,00_2 - Inspeção realizada na estrutura - trocar coxim traseiro da cabine, esta estourado NECESSARIO RECOLHER O TRATOR RE62910 8128352_02  
";8128352;02
151888286;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8108702;03
151888286;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8122029;03
151888286;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8001527;03
151888287;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8108702;03
151888287;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8122029;03
151888287;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8001527;03
151888290;"M_OT_P_ELE_2,00_1 - Inspeção realizada no sistema eletrico - trocar Controladora elétrica do painel módulo.  Número :RE183708   SAP;8112522_01 NECESSARIO ELETRICISTA
";8112522;01
151888319;"M_OT_P_MEC_1,00_1 - Inspeção realizada na cabine - trocar borracha de vedação da porta L/E, não esta vedando direito 8140498_01 
";8140498;01
151888324;"M_OT_P_MEC_1,00_1 - Inspeção realizada nas rodas - instalar espaçador da roda traseira L/E, esta sem 8133840_02 8095816_02 8095815_02
";8133840;02
151888324;"M_OT_P_MEC_1,00_1 - Inspeção realizada nas rodas - instalar espaçador da roda traseira L/E, esta sem 8133840_02 8095816_02 8095815_02
";8095816;02
151888324;"M_OT_P_MEC_1,00_1 - Inspeção realizada nas rodas - instalar espaçador da roda traseira L/E, esta sem 8133840_02 8095816_02 8095815_02
";8095815;02
151888333;"B_OT_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro - instalar proteção do sensor de angulo da roda no eixo dianteiro, esta sem 8188563_01   8139583_02 8150312_02
";8188563;01
151888333;"B_OT_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro - instalar proteção do sensor de angulo da roda no eixo dianteiro, esta sem 8188563_01   8139583_02 8150312_02
";8139583;02
151888333;"B_OT_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro - instalar proteção do sensor de angulo da roda no eixo dianteiro, esta sem 8188563_01   8139583_02 8150312_02
";8150312;02
151897385;"A_MT_MEC_P_2,00_1 - Inspeção realizada no motor diesel - trocar tensor da correia e polia do motor, esta danificada  8110057_01 8152590_01 8130193_01
";8110057;01
151897385;"A_MT_MEC_P_2,00_1 - Inspeção realizada no motor diesel - trocar tensor da correia e polia do motor, esta danificada  8110057_01 8152590_01 8130193_01
";8152590;01
151897385;"A_MT_MEC_P_2,00_1 - Inspeção realizada no motor diesel - trocar tensor da correia e polia do motor, esta danificada  8110057_01 8152590_01 8130193_01
";8130193;01
151919748;"A_TR_P_ELE_0,30_1 - Inspeção realizada na transmissão, trocar visor de nivel de óleo da transmissão, está ofuscado, ruim de ver o nivel e com pequeno trinco  8101078_1 
";8101078;1
151926219;"M_MT_P_MEC_0,10_1 - Inspeção realizada no sistema admissao de ar - Trocar junta da tampa do filtro de ar externo, a junta esta gasta e auxilia na vedação da tampa com a carcaça do filtro Tampa do Pré-limpador 8144945_01
";8144945;01
151926221;"M_MT_P_MEC_0,10_1 - Inspeção realizada no sistema admissao de ar - Trocar junta da tampa do filtro de ar externo, a junta esta gasta e auxilia na vedação da tampa com a carcaça do filtro Tampa do Pré-limpador 8144945_01
";8144945;01
151926222;"M_MT_P_MEC_0,10_1 - Inspeção realizada no sistema admissao de ar - Trocar junta da tampa do filtro de ar externo, a junta esta gasta e auxilia na vedação da tampa com a carcaça do filtro Tampa do Pré-limpador 8144945_01
";8144945;01
151930262;"A_OT_P_MEC_1,00_2 - Inspeção realizada na cabine - Trocar as juntas do parabrisa dianteiro, esta junta vai na chapa em frente ao vidro para evitar vibração e quebra do vidro 8153986_04  8153970_02 NECESSARIO ESCADA PLATAFORMA
";8153986;04
151930262;"A_OT_P_MEC_1,00_2 - Inspeção realizada na cabine - Trocar as juntas do parabrisa dianteiro, esta junta vai na chapa em frente ao vidro para evitar vibração e quebra do vidro 8153986_04  8153970_02 NECESSARIO ESCADA PLATAFORMA
";8153970;02
151930270;"A_OT_P_MEC_1,00_1 - Inspeção realizada no sistema direção - trocar terminal de direção L/D , eixo de 3 metros esta com folga no terminal 8112653_01 
";8112653;01
151940524;"A_OT_P_0,30_1 - Inspeção realizada no sistema hidraulico - trocar pino de fixação do terceiro ponto, esta com o parafuso adaptado 8186511_01  8151470_01
";8186511;01
151940524;"A_OT_P_0,30_1 - Inspeção realizada no sistema hidraulico - trocar pino de fixação do terceiro ponto, esta com o parafuso adaptado 8186511_01  8151470_01
";8151470;01
151940525;"A_VZ_P_1,00_1 - Inspeçao realizada no eixo dianteiro, trocar cilindro de direção L/D  e L/E. está vazando 3011407_1; 3011351_1 
";3011407;1
151940525;"A_VZ_P_1,00_1 - Inspeçao realizada no eixo dianteiro, trocar cilindro de direção L/D  e L/E. está vazando 3011407_1; 3011351_1 
";3011351;1
151942068;"A_VZ_P_4,00_2 - Inspeção realizada no motor diesel, trocar retentor dianteiro do virabrequim do motor diesel, está com vazamento. NECESSÁRIO LEVAR FERRAMENTAS ADEQUADAS PARA INSTALAÇÃO DO RETENTOR, REMOÇÃO DO DAMPER E TORQUIMETRO  OU PROGRAMAR PARA EQUIPE ESPECIALIZADA 8134725_1; 6000338_1
";8134725;1
151942068;"A_VZ_P_4,00_2 - Inspeção realizada no motor diesel, trocar retentor dianteiro do virabrequim do motor diesel, está com vazamento. NECESSÁRIO LEVAR FERRAMENTAS ADEQUADAS PARA INSTALAÇÃO DO RETENTOR, REMOÇÃO DO DAMPER E TORQUIMETRO  OU PROGRAMAR PARA EQUIPE ESPECIALIZADA 8134725_1; 6000338_1
";6000338;1
151942736;"A_VZ_P_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8108702;03
151942736;"A_VZ_P_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8122029;03
151942736;"A_VZ_P_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8001527;03
151943784;"A_OT_P_MEC_2,00_2 - Inspeção realizada no hidraulico, trocar bucha do eixo oscilante superior do braço elevador da barra hidraulica ( braço de suporte de levante da barra hidraulica )   8128780_2; 8073788_2
";8128780;2
151943784;"A_OT_P_MEC_2,00_2 - Inspeção realizada no hidraulico, trocar bucha do eixo oscilante superior do braço elevador da barra hidraulica ( braço de suporte de levante da barra hidraulica )   8128780_2; 8073788_2
";8073788;2
151943786;"M_OT_P_MEC_0,30_1 - Inspeção realizado no capo . trocar Cabo do capo,  está com o cabo estourado.  8093402_1 
";8093402;1
151943788;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8108702;03
151943788;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8122029;03
151943788;"A_VZ_P_MEC_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8001527;03
151943790;"A_OT_P_MEC_1,00_1 - Inspeção realizada no sistema hidraulico - Trocar pino de centragem e tensor lateral, esta com desgaste na alojamento do pino e no pino 8032918_02 8033444_02 8150527_02 8190642_02

";8032918;02
151943790;"A_OT_P_MEC_1,00_1 - Inspeção realizada no sistema hidraulico - Trocar pino de centragem e tensor lateral, esta com desgaste na alojamento do pino e no pino 8032918_02 8033444_02 8150527_02 8190642_02

";8033444;02
151943790;"A_OT_P_MEC_1,00_1 - Inspeção realizada no sistema hidraulico - Trocar pino de centragem e tensor lateral, esta com desgaste na alojamento do pino e no pino 8032918_02 8033444_02 8150527_02 8190642_02

";8150527;02
151943790;"A_OT_P_MEC_1,00_1 - Inspeção realizada no sistema hidraulico - Trocar pino de centragem e tensor lateral, esta com desgaste na alojamento do pino e no pino 8032918_02 8033444_02 8150527_02 8190642_02

";8190642;02
151947901;"A_MT_P_0,15_ - INspeção realizada no motor, trocar tampa do reservatório de arrefecimento, está quebrada 8120485_1
";8120485;1
151947902;"A_MT_P_1,00_1 - Inspeção realizada no motor, trocar a tampa do purificador de ar, está com as travas quebradas 8115574_1
";8115574;1
151949354;"A_OT_P_ELE_1,00_1 - Inspeção realizada no sistema eletrico - Trocar controladora ICU, não esta funcionado os botoes 8126774_01 NECESSARIO ELETRICISTA
";8126774;01
151955899;"A_OT_P_ELE_1,00_1 - Inspeção realizada no sistema eletrico - Trocar Interruptor Basculante, Mudança para Cima/para Baixo da velocidade 8122424_01 NECESSARIO ELETRICISTA
";8122424;01
151956980;"A_VZ_P_MEC_2_2,00 - Inspeção realizada no comando hidráulico, trocar reparo do comando, está vazando 8108702_4
";8108702;4
151959544;"M_OT_P_MEC_1_0,30 - Inspeção realizada na cabine - trocar cilindro a gas da porta L/E, esta sem ação e não segura a porta aberta 8114774_01
";8114774;01
151959547;"A_VZ_P_MEC_1_2,00 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo 8108702_03 8122029_01 8001527_01
";8108702;03
151959547;"A_VZ_P_MEC_1_2,00 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo 8108702_03 8122029_01 8001527_01
";8122029;01
151959547;"A_VZ_P_MEC_1_2,00 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo 8108702_03 8122029_01 8001527_01
";8001527;01
151959568;"A_OT_P_MEC_1_2,00 - Inspeção realizada na cabine - Trocar as juntas do parabrisa dianteiro, esta junta vai na chapa em frente ao vidro para evitar vibração e quebra do vidro 8153986_04  NECESSARIO ESCADA PLATAFORMA 
";8153986;04
151959570;"A_OT_P_MEC_1_2,00 - Inspeção realizada na cabine - Trocar as juntas do parabrisa dianteiro, esta junta vai na chapa em frente ao vidro para evitar vibração e quebra do vidro 8153986_04 NECESSARIO ESCADA PLATAFORMA
";8153986;04
151959611;"M_VZ_P_MEC_2_3,00 - Inspeção realizado no sistema da direção. Cilindro da direção está vazando. Trocar reparo do cilindro da direção.    8115254_1  NECESSARIO RECOLHER O TRATOR ( VERIFICAR JUNTO A GESTAO A TRATATIVA PARA TROCAR EM CAMPO OU RECOLHER O TRATOR )  
";8115254;1
151959759;"A_OT_P_MEC_1,00_2 - Inspeção realizada na cabine - Trocar junta do parabrisa dianteiro, esta junta vai na chapa superior em frente ao vidro para evitar vibração e quebra do vidro 8153986_04  NECESSARIO ESCADA PLATAFORMA 4 DEGRAUS OU MAIS
";8153986;04
151963367;"M_OT_P_MEC_2_2,00 - Inspeção realizada na estrutura - trocar coxim dianteiro e traseiro da cabine, esta estourado NECESSARIO RECOLHER O TRATOR RE62910 8128352_04  
";8128352;04
151971322;"A_OT_P_ELE_1,00_1 - Inspeção realizada no ar condicionado - Trocar mangueira de entrada no filtro secador do ar condicionado, filtro secador fica na frente do trator em cima do radiadores  8184105_01 NECESSARIO REPOR O GAS REFRIGERANTE
";8184105;01
151971326;"A_OT_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico -trocar pino elastico e o pino de apoio do tensor lateral da barra hidraulica, esta com adaptacoes  8110822_04 8105542_02
";8110822;04
151971326;"A_OT_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico -trocar pino elastico e o pino de apoio do tensor lateral da barra hidraulica, esta com adaptacoes  8110822_04 8105542_02
";8105542;02
151971941;"A_MT_P_MEC_1_0,30 - Inspeção realizada no sistema de arrefecimento - Trocar mangueira do reservatorio de agua ( tanque de expansão do liquido de arrefecimento ) esta ressecada e com fissura podendo furar e vazar o liquido 8140564_01  8109908_02 8149606_01
";8140564;01
151971941;"A_MT_P_MEC_1_0,30 - Inspeção realizada no sistema de arrefecimento - Trocar mangueira do reservatorio de agua ( tanque de expansão do liquido de arrefecimento ) esta ressecada e com fissura podendo furar e vazar o liquido 8140564_01  8109908_02 8149606_01
";8109908;02
151971941;"A_MT_P_MEC_1_0,30 - Inspeção realizada no sistema de arrefecimento - Trocar mangueira do reservatorio de agua ( tanque de expansão do liquido de arrefecimento ) esta ressecada e com fissura podendo furar e vazar o liquido 8140564_01  8109908_02 8149606_01
";8149606;01
151978163;"A_VZ_P_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8108702;03
151978163;"A_VZ_P_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8122029;03
151978163;"A_VZ_P_2,00_1 - Inspeção realizada no sistema hidraulico - trocar kit reparo da 2º 3º 4º VCR, esta vazando oleo pois o corpo da valvula de regulagem esta danificado e precisa trocar pois é de aluminum 8108702_03 8122029_03 8001527_03 
";8001527;03
151988484;"A_TR_P_MEC_1,00_1 - Inspeção realizada no sistema direção - Refazer o furo do parafuso do pino do cilindro de direção L/D, esta com o parafuso quebrado dentro da carcaça do diferencial 8190225_02 NECESSARIO LEVAR FURADEIRA,BROCA E MACHO PARA REFAZER O FURO ( MEDIDIDA DO PARAFUSO Hex, M8 x 1.25 x 20mm ) 
";8190225;02
151988495;"M_MT_P_MEC_0,10_1 - Inspeção realizada no sistema arrefecimento - trocar tampa do radiador de agua, esta com a tampa queimada e danificada 8141074_01 REALIZAR O SERVIÇO A FRIO 
";8141074;01
151988499;"M_MT_P_MEC_2,00_1 - Inspeção realizada no motor - trocar proteção da helice do radiador, esta quebrada na lateral 8140364_01 
";8140364;01
151988504;"A_MT_P_MEC_2,00_2 - Inspeção realizada no motor - trocar rolamento no suporte do cubo da helice do radiador, esta apresentando folga radial 8139245_01 8184238_01 8139270_01 NECESSARIO FERRAMENTA PARA SACAR O ROLAMENTO
";8139245;01
151988504;"A_MT_P_MEC_2,00_2 - Inspeção realizada no motor - trocar rolamento no suporte do cubo da helice do radiador, esta apresentando folga radial 8139245_01 8184238_01 8139270_01 NECESSARIO FERRAMENTA PARA SACAR O ROLAMENTO
";8184238;01
151988504;"A_MT_P_MEC_2,00_2 - Inspeção realizada no motor - trocar rolamento no suporte do cubo da helice do radiador, esta apresentando folga radial 8139245_01 8184238_01 8139270_01 NECESSARIO FERRAMENTA PARA SACAR O ROLAMENTO
";8139270;01
151988514;"A_SS_P_MEC_2,00_1 - Inspeção realizada na cabine - trocar alavanca de regulagem do assento do operador L/E do assento,  assento do operador esta com problema para correr o banco para frente e para tras  8138821_01  
 Material disponível na sala de Aprovisionamento
";8138821;01
151989369;"A_TR_P_MEC_1,00_1 - Inspeção realizada no sistema direção - Refazer o furo do parafuso do pino do cilindro de direção L/E, esta com o parafuso quebrado dentro da carcaça do diferencial 8190225_02 NECESSARIO LEVAR FURADEIRA,BROCA E MACHO PARA REFAZER O FURO ( MEDIDIDA DO PARAFUSO Hex, M8 x 1.25 x 20mm ) 
";8190225;02
152555286;"A_OT_P_ELE_1,00_1 - Inspeção realizada no sistema eletrico - Trocar Interruptor Basculante,Sistema de Gerenciamento do Implemento 8127569_01 NECESSARIO ELETRICISTA
";8127569;01
152557466;"A_SS_P_MEC_1_2,00 - Inspeção realizada na estrutura - trocar cilindro do capo, esta sem ação 8184236_02
";8184236;02
152558709;"A_VZ_MEC_1_3,00 - Inspeção realizada na transmissão, trocar retentor do eixo cardam de acionamento do diferencial dianteiro, está com vazamento.8122265_1; 8150037_2; 8150036_1
";8122265;1
152558709;"A_VZ_MEC_1_3,00 - Inspeção realizada na transmissão, trocar retentor do eixo cardam de acionamento do diferencial dianteiro, está com vazamento.8122265_1; 8150037_2; 8150036_1
";8150037;2
152558709;"A_VZ_MEC_1_3,00 - Inspeção realizada na transmissão, trocar retentor do eixo cardam de acionamento do diferencial dianteiro, está com vazamento.8122265_1; 8150037_2; 8150036_1
";8150036;1
