O.S;;Código;Descrição;Código;Descrição;Código;Descrição;;;Código;Descrição;;Código;Descrição;Código;Descrição;Entrada;Saída Prevista;Saída;;Descrição da O.S
165505783;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98422;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"A_SS_P_MEC_2,00_2 - Inspeção realizada no eixo dianteiro, trocar bucha dos braços da barra de estabilização do eixo dianteiro, está com fadiga 8122223_4; 8127170_2 (P5) Material disponível na sala de Aprovisionamento RETIRADO  KELLER
"
165505796;Programada;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98398;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 07:00;;0;"A_SS_P_MEC_1,00_1,00 - Inspeção realizada no sistema eletrico. Trocar tampa de bateria, esta quebrada.             8123166_1   F-205 MATERIAL  de  OS ENCERRADA  Material disponível na sala de aprovisionamento  
"
165505813;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98404;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"A_VZ_P_MEC_2,00_2 - Inspeção realizado na cabine, trocar o cilindro de basculamento da cabine, está com vazamento. 8183885_1 CONSULTADO TECNICO DA MERCEDEZ É REALIZADO A TROCA COM A CABINE ABAIXADA NO APOIO, ACESSO POR BAIXO E PELA GRADE FRONTAL
"
165505814;Programada;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98392;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"A_VZ_P_MEC_2,00_2 - Inspeção realizado na cabine, trocar o cilindro de basculamento da cabine, está com vazamento. 8183885_1 CONSULTADO TECNICO DA MERCEDEZ É REALIZADO A TROCA COM A CABINE ABAIXADA NO APOIO, ACESSO POR BAIXO E PELA GRADE FRONTALMaterial disponível na sala de aprovisionamento 
"
165505815;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98396;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"B_VZ_P_MEC_2,00_2 - Inspeção realizado na cabine, trocar o cilindro de basculamento da cabine, está com vazamento. 8183885_1 CONSULTADO TECNICO DA MERCEDEZ É REALIZADO A TROCA COM A CABINE ABAIXADA NO APOIO, ACESSO POR BAIXO E PELA GRADE FRONTAL
"
165505887;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98404;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"A_OT_P_MEC -1,00_2 - Inspeção realizada no sistema de ar condicionado, trocar coxim do condenssador do ar posicionado atras da cabine LE e LD, está rachado 8177617_4  

"
165505899;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98392;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"M_SS_P_MEC - 2,00_2 - Inspeção realizada no eixo direcional, trocar rolamento do articulador do 1° eixo direcional LE, está com folga no rolamento. 8177681_1Material disponível na sala de aprovisionamento 
"
165505956;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98370;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 07:00;;0;"A_OT_P_MEC_1,00_1,00 - Inspeção realizada no sistema de cabine. Trocar cilindro que ergue cabine, esta vazando pelo reparo.    8183885_1                    F-205
"
165505960;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98396;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"A_OT_P_MEC_2_1,00 - Inspeção realizada no eixo dianteiro, trocar coifa do cilindro de direção, está rasgada 8191518_2; 8191527_2; 8174974_2
"
165506005;Andamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98422;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"A_OT_P_MEC -1,00_2 - Inspeção realizada no sistema de ar condicionado, trocar coxim do condenssador do ar posicionado atras da cabine LE e LD, está rachado 8177617_4  Material disponivel na sala de aprovisionamento  RETIRADO LELLER

"
165506016;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98292;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 07:00;;0;"A_OT_P_MEC_1,00_1,00 - Inspeção realizada no sistema de suspensão. Instalar haste niveladora L/E, esta faltando.      8185854_1      F-205
"
165506021;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98416;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;113,81;"A_OT_P_1,00_1,00 - Inspeção realizada no sistema de combustivel. Trocar tampa do tanque diesel, esta vazando pela vedação.       8174879_1 
"
165506064;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98406;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;18/06/2025 06:00;18/06/2025 06:01;;0;"M_OT_P_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, trocar barra de direção pequena LE, está com terminal folgado. 8154448_1
"
165506329;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98416;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;20/06/2025 06:00;20/06/2025 06:01;;0;"A_SS_P_ELE_1_1,00 - Inspeção realizada no sistema eletrico, trocar chave de partida, está com defeito e está com paliativo com interruptor no painel 8142336_1 NÃO PROGRAMAR, DISPONIBILIZAR A PEÇA PARA O TÉCNICO RAFAEL DOMINGUES (PODRE)
 Material disponível na sala de Aprovisionamento 
"
165506332;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98396;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;20/06/2025 06:00;20/06/2025 06:01;;0;"M_SS_P_MEC_1_1,,00 - Inspeção realizada no eixo dianteiro, trocar terminal de 90° LD do 1° eixo, está com folga 8153948_1
"
165506333;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98416;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;20/06/2025 06:00;20/06/2025 06:01;;0;"A_OT_P_1,00_1,00 - Inspeção realizada no sistema da suspenção. Colocar  a algema na mola do 2° eixo direcional L/E e L/D.     8177610_4. USAR PARAFUSO DO CAMINHÃO OFICINA 
"
165508833;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98394;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"A_VZ_P_MEC_2,00_2 - Inspeção realizado na cabine, trocar o cilindro de basculamento da cabine, está com vazamento. 8183885_1 CONSULTADO TECNICO DA MERCEDEZ É REALIZADO A TROCA COM A CABINE ABAIXADA NO APOIO, ACESSO POR BAIXO E PELA GRADE FRONTAL
"
165508837;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98394;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"M_SS_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminal 90° do conjunto de terminal de direção  do 1° eixo dianteiro LD, está com folga 8178943_1
"
165508841;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98394;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"M_SS_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminais  90° da barra ( SUPERIOR CURTA LADO ESQUERDO ) de direção  do 1° eixo dianteiro LE, está com folga 8177862_1; 8178943
"
165508842;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98297;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"A_SS_P_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, trocar conjunto de terminal de direção LD, está com folga 8153948_1
"
165508848;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98297;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"M_SS_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminais  90° da barra ( SUPERIOR CURTA LADO ESQUERDO ) de direção  do 1° eixo dianteiro LE, está com folga 8177862_1; 8178943
"
165508850;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98297;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"M_SS_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminal 90° do conjunto de terminal de direção  do 1° eixo dianteiro LE, está com folga 8177862_1

"
165508856;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98297;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"A_OT_P_MEC_2_6,00 - Inspeção realizada no eixo dianteiro, trocar buchas dos jumelos do 2° eixo dianteiro LE e LD e suporte LD,  3° mola L/E e colocar algema do molejo  , estão com fadigas 8155513_4(P5); 8186852_6(P5); 8174985_1(P5); 8155449_4(P5); 8155450_4(P5)  8186758_1(P5); 8177610_2(P5); 8128986_4; 8129020_8(P5)
"
165509103;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98410;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"B_VZ_P_MEC_2,00_2 - Inspeção realizado na cabine, trocar o cilindro de basculamento da cabine, está com vazamento. 8183885_1 CONSULTADO TECNICO DA MERCEDEZ É REALIZADO A TROCA COM A CABINE ABAIXADA NO APOIO, ACESSO POR BAIXO E PELA GRADE FRONTAL
"
165509111;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98410;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"M_SS_P_MEC - 2,00_2 - Inspeção realizada no eixo direcional, trocar rolamento do articulador do 1° eixo direcional LE, está com folga no rolamento. 8177681_1

"
165509117;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98410;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;24/06/2025 06:00;24/06/2025 06:01;;0;"M_SS_P_MEC_1,00_1 - Inspeção realizada no eixo dianteiro, trocar terminal 90° do conjunto de terminal de direção  do 1° eixo dianteiro LD, está com folga 8178943_1
"
165509448;Liberado para Programação;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98368;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;25/06/2025 06:00;25/06/2025 06:01;;622,81;"A_SS_P_MEC_2_6,00 - Inspeção realizada sistema de freio. Trocar lonas de freio do 2° eixo traseiro, LE  está com lona de freio quebrada - 4_8113604, 100_6012109; 8130939_2(P5) NECESSÁRIO CALÇAR O EIXO, ENCAMINHAR MATERIAL PARA OFICINA FIXA REBITAR E DISPONIBILIZAR PARA EXECUÇÃO   Material disponível na sala de Aprovisionamento 
"
165509481;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98376;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;25/06/2025 06:00;25/06/2025 06:01;;0;"A_FR_P_MEC_2_2,00 - Inspeção realizada no sistema pneumático, trocar váuvula 4 vias, está com vazamento crítico de ar 8143849_1
"
165510803;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98296;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"M_SS_P_MEC_2_2,00 - Inspeção realizada no sistema de direção, trocar terminais 90° LD do 1° eixo, terminal 90° LD e LE da barra curta superior e terminal 90° LE da barra de direção do 2° eixo dianteiro, estão com folga 8177862_2; 8178943_2     frente 206
"
165510820;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98296;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"M_VZ_P_MEC_1_2,00 - Inspeção realizada no sistema de direção, trocar cilindro de direção, está com vazamento 8160039_1 frente 206
"
165510821;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98295;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"A_SS_P_MEC_1_1 - Inspeção realizada no eixo dianteiro, trocar terminal 90° LD, está com folga crítica 8178943 frente 206
"
165510853;Programada;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98295;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"A_OT_P_MEC -1,00_1 - Inspeção realizada no sistema de ar condicionado, trocar coxim do condenssador do ar posicionado atras da cabine LE e LD, está rachado 8177617_4    Material disponivel na sala de aprovisionamento 
"
165510855;Programada;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98295;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:02;;0;"B_VZ_P_MEC_2,00_2 - Inspeção realizado na cabine, trocar o cilindro de basculamento da cabine, está com vazamento. 8183885_1 CONSULTADO TECNICO DA MERCEDEZ É REALIZADO A TROCA COM A CABINE ABAIXADA NO APOIO, ACESSO POR BAIXO E PELA GRADE FRONTAL frente 206Material disponível na sala de aprovisionamento 
"
165510866;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98400;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"A_OT_P_MEC -1,00_1 - Inspeção realizada no sistema de ar condicionado, trocar coxim do condenssador do ar posicionado atras da cabine LE e LD, está rachado 8177617_4  FRENTE 206
"
165510867;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98400;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"B_SS_P_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, trocar terminal 90° LD da barra curta superior LD, está com folga 8178943_1
"
165510872;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98400;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"M_OT_P_MEC_2_2,00 - Inspeção realizada no eixo dianteiro, trocar buchas dos jumelos e molas LD e LE do 2° eixo dianteiro, estão com fadiga 8118288_6
"
165510873;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98400;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"A_OT_P_1,00_1,00 - Inspeção realizada no sistema de combustivel. Trocar tampa do tanque diesel, esta quebrada a capa.       8174879_1 
"
165510874;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98400;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"B_VZ_P_MEC_2,00_2 - Inspeção realizado na cabine, trocar o cilindro de basculamento da cabine, está com vazamento. 8183885_1 CONSULTADO TECNICO DA MERCEDEZ É REALIZADO A TROCA COM A CABINE ABAIXADA NO APOIO, ACESSO POR BAIXO E PELA GRADE FRONTAL frente 206
"
165511008;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98376;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;27/06/2025 06:00;27/06/2025 06:01;;0;"A_MT_P_MEC_1_1,00 - Inspeção realizada sistema de motor. Colocar presilhas do filtro de ar e realizar pequeno reparo na tampa do purificador de ar. 8140020_6 6012285_1
"
165511230;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98380;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;30/06/2025 06:00;30/06/2025 06:01;;0;"A_OT_P_MEC -1,00_1 - Inspeção realizada no sistema de ar condicionado, trocar coxim do condenssador do ar posicionado atras da cabine LE e LD, está rachado 8177617_4  
"
165511233;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98380;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;30/06/2025 06:00;30/06/2025 06:01;;0;"A_VZ_P_MEC_2_2,00 - Inspeção realizada no implemento, trocar bomba hidráulica abaixo do tanque, está com vazamento crítico 8183373_1
"
165511234;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98380;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;30/06/2025 06:00;30/06/2025 06:01;;0;"A_OT_P_MEC_2_2,00 - Inspeção realizada no eixo dianteiro, trocar buchas dos jumelos e molas LD do 2° eixo dianteiro, estão com fadigas 8155513_2; 8118288_3

"
165511237;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98380;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;30/06/2025 06:00;30/06/2025 06:01;;0;"M_SS_P_MEC_1_1,00 - Inspeção realizada no eixo dianteiro, trocar terminal 90° LE do 1° eixo, está com folga 8177862_1
"
165511238;Aprovisionamento;5;Preventiva Condicional;27;INSPEÇÃO SENSITIVA;11002;OFICINA CAMPO;Campo;Equipamento;98380;MB Axor3131 8x4 Trans.CCT;1418;48;Caminhão Transbordo CCT;;;30/06/2025 06:00;30/06/2025 06:01;;0;"A_FR_P_MEC_1_2,00 - Inspeção realizada no sistema pneumático, trocar válvula 4 vias e silenciador, está com vazamento 8184341_1; 8143849_1
"
