O.S;Frota;Modelo;Descrição da O.S
151930262;93184;John Deere 7230 J 4x4;"A_OT_P_MEC_1,00_2 - Inspeção realizada na cabine - Trocar as juntas do parabrisa dianteiro, esta junta vai na chapa em frente ao vidro para evitar vibração e quebra do vidro 8153986_04(P5)  8153970_02 NECESSARIO ESCADA PLATAFORMA      EQUIPAMANTO NA OFICINA JEAN MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO 
"
151971326;93184;John Deere 7230 J 4x4;"A_OT_P_MEC_0,30_1 - Inspeção realizada no sistema hidraulico -trocar pino elastico e o pino de apoio do tensor lateral da barra hidraulica, esta com adaptacoes  8110822_04 8105542_02     EQUIPAMANTO NA OFICINA JEAN 
"
151975555;96374;M.Benz Atego 2730K 6x4;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar batente de ferro do molejo dianteiro L/D e batente de borracha do molejo dianteiro L/E,L/D. 01_8139448, 02_8139592 (P5)
"
151978875;102922;Car.Tan Ap Vinh 22,5m³ ;"A_SS_P_MEC_1_0,30- Inspeção realizada no cabeçalho, trocar corrente de segurança, está com corrente com desgaste por atrito ao solo e está com corrente irregular conforme POP.AGR.MANT.0039  8052638_1  LIBERADO APROVISIONAMENTO
"
151978878;102921;Car.Tan Ap Vinh 22,5m³ ;"A_SS_P_MEC_1_0,30- Inspeção realizada no cabeçalho, trocar corrente de segurança, está com corrente com desgaste por atrito ao solo e está com corrente irregular conforme POP.AGR.MANT.0039  8052638_1  LIBERADO APROVISIONAMENTO
"
151980123;117587;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_8,00_2,00 - Inspeção realizada no sistema do despontador. Embuchamento folgado. Trocar embuchamento do despontador  8070982_01  8067079_01  8059063_04  8009121_04  8070981_02  8071531_02  8035790_04.
"
151980161;117587;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC,SOL_2,00_2,00- Inspeção realizada no sistema elevador.  Balança do giro do elevador danificada, recuperar balança.  8057003_02  8058513_02.
"
151980185;117587;John Deere CH570 1L Colhe;"E_SAFRA_24/25_SOL_3,00_1,00 -  Inspeção realizada no sistema mecanismo do giro. Trocar pino mesa do giro. (apoio do elevador)  8153965_02. 
"
151980223;117587;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_2,00_2,00 - Inspeção realizada no sistema do Picador. Trocar os isolantes supeiores e ineferiores da caixa do picador. Estão ruins.8129189_4.
"
151980298;117587;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_3,00_2,00 - Inspeção realizada no sistema do motor. Trocar os isoladores do motor. 8042502_3.
"
151981359;117587;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_3,00_1,00 - Inspeção realizada no sistema da Cabine. Trocar as borrachas de isolamento envolta da cabine. 8134873_2, 8138056_1,8138351_1,8138057_1. 

"
152549559;20410;M.Benz Atego 2730K 6x4;"A_MT_P_2,00_01 - Inspeção realizada no sistema do motor diesel. Trocar junta da tampa de valvula ( vazamento).   01_8139613   MATERAIL UTILIZADO DE OUTRA ORDEM  Material disponível na sala de Aprovisionamento
"
151985258;117587;John Deere CH570 1L Colhe;"E_SAFRA_24/25_ELE_48,00_2,00 - Inspeção realizada no sistema elétrico. Trocar os chicotes eletricos.Estão ruins. 8188671_1,8133335_1,8129199_1,8138737_1,,8137860_1,8132320_1, 8132376_1,8134072_1.
"
152559905;74519;M.Benz Atego 2730K 6x4;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedores dianteiros L/E,L/D (estourados) -  02_8139635
"
152560904;102777;John Deere 8270R 4X4;"Fixa - trocar eixo dianteiro.
"
152561202;96374;M.Benz Atego 2730K 6x4;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedores dianteiros (estourada borracha em cima)- 02_8139635
"
152561204;119930;Volkswagen 31.330 CRC 6x4;"A_OT_P_1,00_01 - Inspeção realizada sistema de motor. Trocar proteção trazeira do motor (está sem), ficando o coletor de escapamento exposto, risco de incêndio. 01_8125208
"
152561318;96366;M.Benz Atego 2730K 6x4;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar bucha do estabilizador L/D (não tem bucha)  - 01_8138926
"
151985497;102921;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2 - Revisar freios. Revisar freios. 8171414_16_8164903_150; 8160112_2; 8160124_2; 8160189_2; 8160189_2; 8160353_2; 8164888_4
"
152562523;96672;Volkswagen 31.280 CRM 6x4;"A_OT_P_2,00_01 - Inspeção realizada sistema de suspensão. Trocar dois parafusos do tirante em V da tração (quebrado) - 02_6009803, 02_6011759
"
152563768;120031;Volkswagen 31.330 CRC 6x4;"A_FR_P_3,00_01 - Inspeção realizada sistema de freio. Trocar lonas de freio do truck L/D (fina) -  01_8026105, 60_6041712
"
152564265;163170;Volkswagen 8-120 Worker;"A_OT_P_1,00_01 - Inspeção realizada sistema de cabine. Trocar paralama trazeiro L/D e L/E da cabine. (quebrado). 01_8159766, 01_8105391



"
152564501;360156;Volkswagen 31.320 CNC 6x4;"A_OT_P_3,00_01 - Inspeção realizada sistema de cabine. Trocar suporte na frente da cabine. 02_8106573, 02(P5)_8101208,(P5) 02_8101210

"
152564801;97771;MB Axor 3131 6x4 Comboio;"A_OT_P_2,00_01 - Inspeção realizada sistema de suspensão. Trocar buchas do molejo dianteiro L/E,L/D (parte traseira) danificada. 02_8116823
"
151985507;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2- Revisar rodas. ; 8160145_6; 8160120_6; 8160136_6 
"
152565204;72622;M.Benz Atego 2730K 6x4;"A_SS_P_MEC_4,00_02 - Inspeção realizada sistema de suspensão. Trocar tirante do 2º e 3º eixo traseiro  truck e tração estourado o reparo. 01_8151534

"
152567723;96341;M.Benz Atego 2730K 6x4;"M_FR_MEC_2_3,00- Inspeção realizada sistema de freio. Trocar lonas de freio 1 ° eixo traseiro  L/D. 8_8120693, 80_6012109
"
152568064;96353;M.Benz Atego 2730K 6x4;"A_SS_P_MEC_1_1,00 - Inspeção realizada sistema de suspensão. Trocar amortecedores dianteiro. 02_8139635_1
"
152568095;96370;M.Benz Atego 2730K 6x4;"A_OT_P_MEC_1_1,00 - Inspeção realizada sistema de cabine. Trocar tampa do climatizador da cabine no teto (quebrada). 01_8159490 
"
152572070;97769;MB Axor 3131 6x4 Comboio;"A_SS_S_MEC_1_1,00 - Inspeção realizada no sistema de suspenção,trocar mancal do amortecedor do 1° eixo traseiro, está danificado. EQUIPAMENTO ENCAMINHADO PARA OFICINA FIXA APÓS INSPEÇÃO. 01_8116788, 01_8123214
"
165487600;97720;M.Benz Atego 1719;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspenção. Trocar amortecedores dianteiros L/E,L/D (estourados).  02_8150757
"
165487602;97730;M.Benz Atego 1719;"A_OT_P_1,00_01 - Inspeção realizada sistema de suspensão. Trocar amortecedor dianteiro L/E,L/D (estourados) -  02_8150757
"
165488041;10610;Volkswagen 31.320 CNC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE SUSPENSÃO - 02_8001153, 04_8006117, 04_8066812, 01_8108129, 01_8108128
"
165488042;10610;Volkswagen 31.320 CNC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE FREIO- 02_8026105, 130_6041712, 04_8042899, 02_8098245, 02_8104632, 02_8104634, 01_8165443, 01_8124159, 08_8040628, 08_8021119, 08_8039003, 04_8009179, 04_8009184, 04_8028896, 08_8028658, 18_8002787, 10_8094931, 10_8089433, 02_8108172
"
151985789;102921;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2 -Revisar suspenção.; 8152159_4;8152095_4;  8152098_1; 8141732_2; 8160078_2; 8160121_2 ;  8160200_2; 8160256_4; 8160138_1; 
"
151985791;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2 - Revisar bomba de fluido.8141719_1; 8141749_1; 8160190_1; 8156373_1; 8141750_2; 8141738_2; 8160203_2; 8160192_1; 8160191_1; 8160152_1; 8141721_1; 8141748_1; 8138129_1
"
151985792;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2 - Revisar freios. Revisar freios. 8171414_16_8164903_150; 8160112_2; 8160124_2; 8160189_2; 8160189_2; 8160353_2; 8164888_4
"
151985798;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2 -Revisar suspenção.; 8152159_4;8152095_4;  8152098_1;; 8160121_2 ;  8160252_4
"
151985897;102921;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_2_2,00 - trocar mangueira de retorno da bomba hidráulica que vai na tomada de força, está danificada por atrito e pode romper causando perca do fluído em grande volume.8185185_3; 8185129_2
"
151985900;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_2_2,00 - trocar mangueira de retorno da bomba hidráulica que vai na tomada de força, está danificada por atrito e pode romper causando perca do fluído em grande volume.8185185_3; 8185129_2
"
151985260;102921;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2- Revisar rodas.; 8160143_2; 8160144_2; 8160145_6; 8160120_6; 8160136_6 
"
151985783;102921;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_MEC_8,00_2 - Revisar bomba de fluido.8141719_1; 8141749_1; 8160190_1; 8156373_1; 8141750_2; 8141738_2; 8160203_2; 8160192_1; 8160191_1; 8160152_1; 8141721_1; 8141748_1; 8138129_1

"
151986604;102921;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_6,00_2 - REVISAR CAIXA ROLDANA DA TORRE 8152128_12 8142513_06 8150226_06 8156654_06 
"
151986605;102922;Car.Tan Ap Vinh 22,5m³ ;"E_SAFRA_24/25_6,00_2 - REVISAR CAIXA ROLDANA DA TORRE 8152128_12 8142513_06 8150226_06 8156654_06 
"
151988620;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_8,00_1 - REVISAR BOMBA CENTRIFUGA, 6013428_1  4017196_1  6013448_1  4016946_1  4037636_1  4026437_1  4037676_1  4037677_1  4002697_1  8150724_10 4124404_1

"
165488043;10610;Volkswagen 31.320 CNC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE CABINE
"
165488044;10610;Volkswagen 31.320 CNC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE TRANSMISSÃO - 01_8105810, 01_8120963, 01_8101777, 01_8111325_01_8093445, 01_8107077, 01_8101225, 01_8102535, 01_8133569, 01_8014200, 01_8015981, 01_8099077, 01_8099065, 02_6012516, 04_8067152
"
151988641;19731;Moto Bomba Om 447 - A;"E_SAFRA_24/25_MEC_6,00_1 - REVISAR MOTOR DIESEL E REGULAR VALVULA  8039118_1  8024725_1  4006052_2   6011175_1  6012900_1 8033548_1 8024787_06
"
165488045;10610;Volkswagen 31.320 CNC 6x4;"E_SAFRA_15,00_02 - REVISAR IMPLEMENTO E SISTEMA HIDRAULICO  - 01_8090528, 01_8103135
"
165488046;10610;Volkswagen 31.320 CNC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE MOTOR. 01_8091025, 01_8091023
"
165488052;10649;M.B Axor 3344 Plataforma;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE SUSPENSÃO - 02_8116823, 02_8098194, 02_8126928, 02_8099997, 02_8153595.
"
165488053;10649;M.B Axor 3344 Plataforma;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE FREIO - 01_8118289, 01_8150231, 01_8134080, 01_8115383, 02_8113711, 02_8113705, 10_8159881, 02_8089028 , 01_ 8120756, 16_ 8113604, 160_6012109, 04_ 8089029 , 01_ 8116797
"
165488056;10649;M.B Axor 3344 Plataforma;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE TRANSMISSÃO - 04_8099354, 02_8099974, 02_8099992.
"
165488061;10649;M.B Axor 3344 Plataforma;"E_SAFRA_15,00_02 - REVISAR IMPLEMENTO E SISTEMA HIDRAULICO - 01_8018277, 08_8175317,08_6006720, 08_4010176 .

"
151991816;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_10,00_2,00 Inspeção realizada no sitema da cabine. Trocar os isoladores dianteiros ""coxim"" L/E e L/D. Estão ruins. 8134754_2.MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERAIL RETIRADO JEAN  BERNINI
"
151991819;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_10,00_2,00 Inspeção realizada no sitema da cabine. Trocar os isoladores dianteiros ""coxim"" L/E e L/D. Estão ruins. 8134754_2. MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERAIL RETIRADO JEAN  BERNINI

"
151991848;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_1,00_1,00  - Inspeção realizada no sistema da cabine. Trocar os amortecedores da cabine L/E e L/D. estão sem ação. 8138302_2.
"
151991857;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_1,00_1,00 0 - Inspeção realizada no sistema de motor. Trocar tensor do ar condicionado. Está ruim .8138304_1  MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERAIL RETIRADO JEAN  BERNINI
"
151991861;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_1,00_1,00 0 - Inspeção realizada no sistema de motor. Trocar tensor do ar condicionado. Está ruim .8138304_1
"
151991864;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_2,00_1,00 - Inspeção realizada no sistema Hidráulico. Trocar os anéis de vedação do comando Traseiro. Está vazando. 8130009_3.
"
151991866;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_1,00_1,00 -  Inspeção realizada no sistema de cabine. Trocar borracha de vedação da janela traseira, esta sem vedação.         8133157_1.
"
165488088;10649;M.B Axor 3344 Plataforma;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE MOTOR - 01_8118458, 01_8078976, 01_8118565, 01_8078977.
"
151991884;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_1,00_1,00 Inspeção realizada no sistema elétrico. Colocar a tampa da bateria. Está sem. 8178787_1.MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERAIL RETIRADO JEAN  BERNINI
"
151991902;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_1,00_1,00  - Inspeção realizada no sistema do motor. Trocar a tampa de verificação do nivel do oleo do motor. 8129891_1.  MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO  materail retirado Jean Bernini 

"
151991904;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_1,00_1,00  - Inspeção realizada no sistema do motor. Trocar a tampa de verificação do nivel do oleo do motor. 8129891_1. 
"
151991905;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_2,00_1,00 - Inspeção realizada no sistema Hidráulico. Trocar os anéis de vedação do comando Traseiro. Está vazando. 8130009_1.

"
165488220;20525;MB Axor3131 6x4 T.Plantio;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE SUSPENSÃO - 02_8116823, 02_8098194, 02_8126928, 02_8099997, 02_8153595, 04_8089064, 04_8122223
"
165488230;20525;MB Axor3131 6x4 T.Plantio;"E_SAFRA_15,00_02- REVISAR SISTEMA DE FREIO -  02_8118289, 02_8150231, 01_8134080, 01_8115383, 02_8113711, 02_8113705, 10_8159881, 02_8089028.

"
151994708;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_3,00_2,00 - Inspeção realizado no sistema do motor. Respiro do motor está vazando. Trocar  respiro do motor.    8115729_1.   8126217_1.
"
165488238;20525;MB Axor3131 6x4 T.Plantio;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE TRANSMISSÃO - 04_8099354, 02_8099974, 02_8099992, 
"
165488239;20525;MB Axor3131 6x4 T.Plantio;"E_SAFRA_15,00_02 - REVISAR IMPLEMENTO E SISTEMA HIDRAULICO - 01_8018277, 08_8175317,08_6006720, 08_4010176 , 

"
165488240;20525;MB Axor3131 6x4 T.Plantio;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE MOTOR - 01_ 8122466, 01_ 8065249, 01_ 8124889 , 01 _ 8122798
"
165488551;96673;Volkswagen 31.280 CRM 6x4;"E_SAFRA_15,00_02  - REVISAR SISTEMA DE SUSPENSÃO-  02_8001153, 04_8006117, 04_8066812

"
165488555;96673;Volkswagen 31.280 CRM 6x4;"E_SAFRA_15,00_02 -  REVISAR SISTEMA DE FREIO -  02_8026105, 130_6041712, 04_8042899, 02_8098245, 02_8104632, 02_8104634, 01_8165443, 01_8124159, 08_8040628, 08_8021119, 08_8039003, 04_8009179, 04_8009184, 04_8028896, 08_8028658, 18_8002787, 10_8094931, 10_8089433, 02_8108172

"
165488558;96673;Volkswagen 31.280 CRM 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE TRANSMISSÃO - 01_8014200, 01_8015981, 01_8099077, 01_8099065, 02_6012516,04_8067152, 04_8006117
"
165488560;96673;Volkswagen 31.280 CRM 6x4;"E_SAFRA_15,00_02 - REVISAR IMPLEMENTO E SISTEMA HIDRAULICO -  01_8090528, 01_8103135, 08_8175317,08_6006720, 08_4010176

"
165488561;96673;Volkswagen 31.280 CRM 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE MOTOR -  01_8091025, 01_8142104
"
165488563;96691;Volkswagen 31.330 CRC 6x4;"E_SAFRA_15,00_02  - REVISAR SISTEMA DE SUSPENSÃO - 02_8001153, 04_8006117, 04_8066812

"
165488564;96691;Volkswagen 31.330 CRC 6x4;"E_SAFRA_15,00_02- REVISAR SISTEMA DE FREIO - 01_8165443, 01_8124159, 08_8040628, 08_8021119, 08_8039003, 04_8009179, 04_8009184, 04_8028896, 08_8028658, 18_8002787.
"
165488568;96691;Volkswagen 31.330 CRC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE TRANSMISSÃO - 02_6012516,04_8067152, 04_8006117
"
165488571;96691;Volkswagen 31.330 CRC 6x4;"E_SAFRA_15,00_ 02 - REVISAR IMPLEMENTO E SISTEMA HIDRAULICO - 01_8090528, 08_8175317,08_6006720, 08_4010176
"
151995834;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_4,00_2,00 - Inspeção realizada no sistema elétrico. Trocar o chicote dos faróis dianteiro encima da cabine. Está ruim.8149620_1.
"
151995835;163512;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_4,00_2,00 - Inspeção realizada no sistema elétrico. Trocar o chicote dos faróis dianteiro encima da cabine. Está ruim.8149620_1.
"
151998674;163509;Case Puma 230 4x4;"E_SAFRA_24/25_MEC_2,00_2,00 - Inpeção realizada no sistema de transmissão. Trocar reparo da carcaça do filtro de transmissão. Esta vazando. NECESSARIO ESGOTAR O OLEO DA TRANSMISSÃO. 8140307_2   8125593_1 MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO MATERAIL RETIRADO JEAN  BERNINI
"
151999419;4465169;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_8,00_2,00 - Inspeção realizada no sistema do despontador. Embuchamento folgado. Trocar embuchamento do despontador  8070982_01  8067079_01  8059063_04  8009121_04  8070981_02  8071531_02  8035790_04.
"
151999421;4465169;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_24_2,00 - Inspeção realizado no sistema do divisor de linha. Desmontar, Revisar e montar sistema do divisor de linha L/E e L/D.    8131390_2, 8131289_2, 8131746_2, 8131710_2, 8073290_1, 8009076_4, 8131363_4,8131291_12, 8009121_2, 8070955_4, 8131898_4, 8129238_2, 6036647_4.
"
151999450;4465161;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_8,00_2,00 - Inspeção realizada no sistema do despontador. Embuchamento folgado. Trocar embuchamento do despontador  8070982_01  8067079_01  8059063_04  8009121_04  8070981_02  8071531_02  8035790_04.
"
151999453;4465161;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_24_2,00 - Inspeção realizado no sistema do divisor de linha. Desmontar, Revisar e montar sistema do divisor de linha L/E e L/D.    8131390_2, 8131289_2, 8131746_2, 8131710_2, 8073290_1, 8009076_4, 8131363_4,8131291_12, 8009121_2, 8070955_4, 8131898_4, 8129238_2, 6036647_4.
"
151999459;4465161;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC,SOL_2,00_2,00- Inspeção realizada no sistema elevador.  Balança do giro do elevador danificada, recuperar balança.  8057003_02  8058513_02.

"
151999462;4465161;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_3,00_2,00 - Inspeção realizada no sistema do motor. Trocar os isoladores do motor. 8042502_3.
"
151999463;4465161;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_3,00_1,00 - Inspeção realizada no sistema da Cabine. Trocar as borrachas de isolamento em volta da cabine. 8134873_2, 8138056_1,8138351_1,8138057_1. 
"
151999832;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_3,00_1,00 - Inspeção realizada no sistema da Cabine. Trocar as borrachas de isolamento em volta da cabine. 8134873_2, 8138056_1,8138351_1,8138057_1. 

"
151999834;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_3,00_2,00 - Inspeção realizada no sistema do motor. Trocar os isoladores do motor. 8042502_3.

"
151999836;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_2,00_2,00 - Inspeção realizada no sistema do Picador. Trocar os isolantes supeiores e ineferiores da caixa do picador. Estão ruins.8129189_4.
"
151999837;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC,SOL_2,00_2,00- Inspeção realizada no sistema elevador.  Balança do giro do elevador danificada, recuperar balança.  8057003_02  8058513_02.
"
151999840;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_SOL_3,00_1,00 -  Inspeção realizada no sistema mecanismo do giro. Trocar pino mesa do giro. (apoio do elevador)  8153965_02. 

"
151999841;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_24_2,00 - Inspeção realizado no sistema do divisor de linha. Desmontar, Revisar e montar sistema do divisor de linha L/E e L/D.    8131390_2, 8131289_2, 8131746_2, 8131710_2, 8073290_1, 8009076_4, 8131363_4,8131291_12, 8009121_2, 8070955_4, 8131898_4, 8129238_2, 6036647_4.
"
151999842;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_8,00_2,00 - Inspeção realizada no sistema do despontador. Embuchamento folgado. Trocar embuchamento do despontador  8070982_01  8067079_01  8059063_04  8009121_04  8070981_02  8071531_02  8035790_04.
"
151999843;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_2,00_2,00 -  Inspeção realizada no sistema chassis, estrutura. Suspensão dianteiro, Trocar calços mancal pino bola. 8071478_05 8071477_05.MATERIAL DISPONIVEL SALA DE APROVISIONAMENTO 
"
151999844;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_8,00_2,00- Inspeção realizada no rolo tombador. Embuchamento folgado. Trocar embuchamento do rolo tombador.  8009121_02  8070808_03   6011746_01  8070981_01.
"
151999845;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_30_2,00_ MEC - Inspeção realizada no sistema de rolos. Embuchamento dos rolos gastos. Trocar embuchamento dos rolos.  8071208_10    8091754_03  4017425_04  8049503_10  8041880_10  8049280_10  8049781_10  8070955_10  8071185_10  8073591_05  8108324_10  8108323_10  6011731_20  6011721_40  6010369_40  6010363_40  6009986_50  6015111_03  9800203_04.
"
151999857;4465201;John Deere CH570 1L Colhe;"E_SAFRA_24/25_MEC_2,50_2,00  Inspeção realizada no sistema mecanismo do giro. Trocar embuchamento completo.  8005804_02  8033137_04  8049785_01  8049783_01  8004735_01  8049150_04  8011479_03  8079120_02  8049788_02  8091037_02  8058753_02

"
165488575;96691;Volkswagen 31.330 CRC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE MOTOR -  01_8091025, 01_8142104
"
165488579;96694;Volkswagen 31.330 CRC 6x4;"E_SAFRA_15,00_02 - REVISAR SISTEMA DE SUSPENSÃO - 02_8001153, 04_8066812

"
